"2022-04-07 19:05:31,povodilnik,verrai,""Возможно, это голод подсказывает мне, но упорно читаю Пельмень, вместо Пламень("""

2022-04-07 19:07:34,povodilnik,verrai,Поздравления!

2022-04-07 19:08:10,povodilnik,vlad_chatsky,поздравляем)

2022-04-07 19:10:55,povodilnik,bolt_roleplay,протекционизм детектед)

2022-04-07 19:10:58,povodilnik,bolt_roleplay,звук норм

2022-04-07 19:11:13,povodilnik,nora_rustylizard,Легас! Поздравляю! Но еще вернусь в субботу с поздравлениями!

"2022-04-07 19:11:14,povodilnik,verrai,""Звук, вроде норм. Вене погромче говорить."""

2022-04-07 19:11:17,povodilnik,nora_rustylizard,Звук нормальный

2022-04-07 19:11:28,povodilnik,bolt_roleplay,Петра плохо

2022-04-07 19:11:37,povodilnik,bolt_roleplay,мик к нему надо подвинуть чутка)

"2022-04-07 19:11:42,povodilnik,verrai,""Да, и Петру погромче."""

2022-04-07 19:12:04,povodilnik,nora_rustylizard,Отдельное сердечко передайте Вил)

2022-04-07 19:12:40,povodilnik,nora_rustylizard,Спать -- это круто

2022-04-07 19:13:01,povodilnik,nora_rustylizard,А я наконец-то добралась до ваших стримчанских)

"2022-04-07 19:15:01,povodilnik,nora_rustylizard,""Мне тут говорят, что если Пасфайндер снова будешь водить -- то есть желающие дополнительно на посмотреть"""

2022-04-07 19:16:00,povodilnik,verrai,@nora_rustylizard А чем принципиально пасфайндерострим отличается от дндыстрима?)

"2022-04-07 19:16:33,povodilnik,nora_rustylizard,""Человек (новичок-мастер, вырос из моих игроков) начал водить Пасфайндер)"""

"2022-04-07 19:17:02,povodilnik,nora_rustylizard,""хочет смотреть приятные стримы по системе (в любых сеттингах), для лучшего понимания и набирания опыта"""

2022-04-07 19:19:00,povodilnik,mega_venik,Наберём 20к донатов - сменим систему на патфайндер)

"2022-04-07 19:20:40,povodilnik,verrai,""@mega_venik ты, давай на игре сосредоточься! те за прошлую сессию надо в два раза круче остальных отыграть!"""

2022-04-07 19:23:06,povodilnik,verrai,@nora_rustylizard Но ведь главное же Сужет и пырсонажи!

"2022-04-07 19:23:54,povodilnik,nora_rustylizard,""Для меня -- да) А человеку негде посмотреть,как нормально работает Пасайндер второй) Я вот не вожу днд, но прихожу посмотреть ради ребят и сюжета)"""

2022-04-07 19:26:39,povodilnik,bolt_roleplay,Всегда можно перекатиться в днд:)

2022-04-07 19:27:14,povodilnik,bolt_roleplay,Даже критикал рол переехали в начале стримов своих

"2022-04-07 19:27:17,povodilnik,nora_rustylizard,""Привет, Болт) Я щас больше по Пбта и вот перекатываться собираюсь на фейт и тфтл)"""

2022-04-07 19:27:51,povodilnik,nora_rustylizard,А то пылятся на полке

2022-04-07 19:28:35,povodilnik,bolt_roleplay,В целом вопрос системы в наше текущее настоящее кажется не принципиальным: под разные задачи - разные системы.

2022-04-07 20:26:06,povodilnik,pale_fang,Приветики

2022-04-07 20:26:55,povodilnik,mega_venik,SirUwU

"2022-04-07 20:58:04,povodilnik,nora_rustylizard,""Я аж жареного гусика захотела. Хорошо, что у меня тут как раз запечёная курочка...."""

2022-04-07 21:25:23,povodilnik,mega_venik,А жареного сапога?)

2022-04-07 21:26:41,povodilnik,nora_rustylizard,А я знаю эту улыбку)

2022-04-07 21:49:49,povodilnik,nora_rustylizard,Нормально ржёте)

2022-04-07 21:49:54,povodilnik,nora_rustylizard,Продолайте)

2022-04-07 21:49:59,povodilnik,nora_rustylizard,*продолжайте

2022-04-07 21:54:34,povodilnik,nora_rustylizard,Закинула не на ту цель сначала (

2022-04-07 22:08:50,povodilnik,mrn0y,спасибо

2022-04-07 22:08:55,povodilnik,nora_rustylizard,Два донатия от меня

2022-04-07 22:09:01,povodilnik,nora_rustylizard,один на Алтею ушел случайно

2022-04-07 22:09:26,povodilnik,nora_rustylizard,а второй ушел на картиночки

"2022-04-07 22:09:52,povodilnik,nora_rustylizard,""в общем, мелочь, но надеюсь, что пригодится."""

2022-04-07 22:10:10,povodilnik,nora_rustylizard,текст на донате: На успокоительное комментатору и увеселительное игрокам

2022-04-07 22:11:01,povodilnik,nora_rustylizard,Вил такая прикольная с сердечком))

"2022-04-07 22:11:58,povodilnik,nora_rustylizard,""Легас, еще  раз поздравляю с грядущей субботой!)"""

2022-04-07 22:12:53,povodilnik,nora_rustylizard,покаа!

2022-04-07 22:13:15,povodilnik,mega_venik,SirUwU SirUwU SirUwU
